area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;006504;042;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;120,844496490264;010150006504;01015000650404201;010150006504042011;202306
1;10150;006504;042;02;1;2;2;1;1;2;2;2;2;2;2;2;2;3;3;3;3;2711;120,844496490264;010150006504;01015000650404202;010150006504042021;202306
1;10150;006504;042;03;1;3;3;1;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;120,844496490264;010150006504;01015000650404203;010150006504042031;202306
1;10150;006504;042;04;1;3;2;3;3;2;2;2;2;2;2;2;2;2;2;3;2;2711;120,844496490264;010150006504;01015000650404204;010150006504042041;202306
1;10150;006504;042;05;1;2;2;1;1;2;2;2;2;2;2;2;2;3;3;3;3;2711;120,844496490264;010150006504;01015000650404205;010150006504042051;202306
1;10150;006504;042;06;1;2;2;1;1;2;2;2;2;2;2;2;2;3;3;3;3;2711;120,844496490264;010150006504;01015000650404206;010150006504042061;202306
1;10150;006504;042;08;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;120,844496490264;010150006504;01015000650404208;010150006504042081;202306
1;10150;006602;042;02;1;2;3;1;1;1;2;2;3;3;2;2;3;2;3;2;2;2713;36,8473197605221;010150006602;01015000660204202;010150006602042021;202306
1;10150;006602;042;03;1;2;2;1;3;2;3;2;3;2;1;2;2;3;3;2;3;2713;36,8473197605221;010150006602;01015000660204203;010150006602042031;202306
1;10150;006602;042;04;1;2;3;1;1;2;2;3;2;2;3;2;2;3;2;2;2;2713;36,8473197605221;010150006602;01015000660204204;010150006602042041;202306
1;10150;006602;042;06;1;2;2;2;2;2;2;3;2;1;2;2;2;2;3;2;2;2713;36,8473197605221;010150006602;01015000660204206;010150006602042061;202306
1;10150;006602;042;07;1;2;2;2;2;2;1;2;1;2;1;2;1;1;2;2;2;2713;36,8473197605221;010150006602;01015000660204207;010150006602042071;202306
1;10150;006602;042;09;1;2;3;1;3;2;3;3;2;1;2;3;2;2;2;2;2;2713;36,8473197605221;010150006602;01015000660204209;010150006602042091;202306
1;10150;006602;042;10;1;2;2;1;1;2;3;2;1;2;3;2;1;2;1;2;2;2713;36,8473197605221;010150006602;01015000660204210;010150006602042101;202306
1;10150;007502;042;01;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2712;59,3233076363314;010150007502;01015000750204201;010150007502042011;202306
1;10150;007502;042;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;2712;59,3233076363314;010150007502;01015000750204202;010150007502042021;202306
1;10150;007502;042;03;1;2;2;1;2;2;1;2;2;2;2;2;2;3;3;3;3;2712;59,3233076363314;010150007502;01015000750204203;010150007502042031;202306
1;10150;007502;042;04;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2712;59,3233076363314;010150007502;01015000750204204;010150007502042041;202306
1;10150;007502;042;05;1;2;3;2;1;2;2;2;2;2;2;2;2;3;3;3;3;2712;59,3233076363314;010150007502;01015000750204205;010150007502042051;202306
1;10150;007502;042;06;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;59,3233076363314;010150007502;01015000750204206;010150007502042061;202306
1;10150;007502;042;07;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;59,3233076363314;010150007502;01015000750204207;010150007502042071;202306
1;10150;008801;042;01;1;2;3;2;3;2;3;2;3;3;2;3;2;2;2;2;2;2712;65,0783214807297;010150008801;01015000880104201;010150008801042011;202306
1;10150;008801;042;02;1;2;3;2;3;3;3;2;2;3;3;2;2;3;2;3;3;2712;65,0783214807297;010150008801;01015000880104202;010150008801042021;202306
1;10150;008801;042;03;1;2;3;2;3;2;3;2;2;3;3;3;3;2;2;3;3;2712;65,0783214807297;010150008801;01015000880104203;010150008801042031;202306
1;10150;008801;042;04;1;2;3;1;3;2;3;2;3;2;3;2;3;1;2;3;3;2712;65,0783214807297;010150008801;01015000880104204;010150008801042041;202306
1;10150;008801;042;05;1;2;2;1;2;2;3;2;3;2;3;2;3;3;2;3;3;2712;65,0783214807297;010150008801;01015000880104205;010150008801042051;202306
1;10150;008801;042;06;1;2;3;2;3;3;3;2;3;3;3;3;2;3;2;2;3;2712;65,0783214807297;010150008801;01015000880104206;010150008801042061;202306
1;10150;008801;042;07;1;2;3;1;3;2;3;2;3;2;2;3;2;3;2;2;2;2712;65,0783214807297;010150008801;01015000880104207;010150008801042071;202306
1;10150;010401;036;01;1;2;3;1;3;2;3;2;3;2;3;2;3;2;2;2;2;2712;113,107797390132;010150010401;01015001040103601;010150010401036011;202306
1;10150;010401;036;02;1;2;3;1;3;2;3;2;3;2;3;2;3;1;3;2;3;2712;113,107797390132;010150010401;01015001040103602;010150010401036021;202306
1;10150;010401;036;03;1;2;3;1;3;2;3;2;3;3;3;3;2;3;2;2;3;2712;113,107797390132;010150010401;01015001040103603;010150010401036031;202306
1;10150;010401;036;04;1;2;3;2;3;2;3;2;3;2;3;2;3;1;3;2;3;2712;113,107797390132;010150010401;01015001040103604;010150010401036041;202306
1;10150;010401;036;05;1;2;3;2;3;2;3;3;2;3;2;3;2;3;3;2;3;2712;113,107797390132;010150010401;01015001040103605;010150010401036051;202306
